;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.rt;key_resp.started;key_resp.stopped;image.started;image.stopped;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;space;17.84230745100649;114.28200777100574;None;;;;;;;;;;;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;no-go;coffee1.png;0;0;0;28;;;;;;;;;114.28200777100574;None;132.98461015800422;133.486322458004;space;0.5025915419973899;133.73373937999713;None;133.73373937999713;134.23845917799918;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;1;1;0;;;;;;;;;;;134.54950744500093;135.05402226699516;None;;135.29948331799824;None;135.29948331799824;135.80045850899478;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;2;2;8;;;;;;;;;;;137.06763044500258;137.57118716300465;space;0.4927126430120552;137.81786676699994;136.82594089000486;137.81786676699994;138.32246243300324;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;3;3;2;;;;;;;;;;;138.60245354300423;139.10607201200037;space;0.3904528369894251;139.35232057300163;None;139.35232057300163;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;4;4;4;;;;;;;;;;;140.0372914699983;140.53958265999972;space;0.30912662399350666;140.785601607;None;140.785601607;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;5;5;3;;;;;;;;;;;141.38671935899765;141.8906162140047;space;0.30256374400050845;142.13614701699407;None;142.13614701699407;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;no-go;coffee1.png;0;6;6;23;;;;;;;;;;;143.27011030599533;143.774272345996;None;;144.02196045299934;None;144.02196045299934;144.537757004;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;no-go;coffee1.png;0;7;7;20;;;;;;;;;;;146.3176155830006;146.82566246499482;space;0.5039385749987559;147.0731860819942;146.08871359999466;147.0731860819942;147.58573509700364;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
;coffee_a;go;water.png;0;8;8;9;;;;;;;;;;;147.89161739799601;148.39362452599744;space;0.3526066670019645;148.65636865100532;None;148.65636865100532;None;P3;1;2021_Dec_01_1454;Psychophysics_project;2021.2.3;59.293911501636344;
